Type,NameofInstitute,Location,TypeOfCourse,Course,Duration,Website,Affiliation,Accreditation
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Science Applied Environmental Pollution,4 Years,http://www.unipune.ac.in/,AICTE,A+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Science Applied Electronics,4 Years,http://www.unipune.ac.in/,AICTE,A+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Science Applied Bio Medical Techniques,4 Years,http://www.unipune.ac.in/,AICTE,A+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Science Applied Pollution Environment,4 Years,http://www.unipune.ac.in/,AICTE,A+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Science Applied Petroleum Technology,4 Years,http://www.unipune.ac.in/,AICTE,A+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Science Applied Scientific Instrumentation,4 Years,http://www.unipune.ac.in/,AICTE,A+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Science Applied Energy Studies,4 Years,http://www.unipune.ac.in/,AICTE,A+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Computer Science,3 Years,http://www.unipune.ac.in/,AICTE,A+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor’s Degree Bachelor of Science in Physical Education Health Education and Sports,3 Years,http://www.unipune.ac.in/,AICTE,A+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Engineering in Yoga,3 Years,http://www.unipune.ac.in/,AICTE,A+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Engineering Vocational,3 Years,http://www.unipune.ac.in/,AICTE,A+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Engineering in Education of Handicapped,3 Years,http://www.unipune.ac.in/,AICTE,A+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Physical Education,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Engineering in Hearing impaired,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Commerce External,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Commerce Restructured,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Science Tech in Weapon System,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Science Applied Optometry,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Arts Lalit kala,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Arts special,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Arts Spl,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Arts Restructure,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Arts Bachelor of Arts General,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Arts General External,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Hotel Management & Catering Technology,4 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Fine Arts Doctor of Philosophy,4 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Ph.D.Bachelor of Commerce,4 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Commerce.Bachelor of Education Physical Education,4 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Engineeringd. Physical Education,4 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Science Restructure,4 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Science,3 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Laws,5 Years,http://www.unipune.ac.in/,AICTE,B+
College,Savitribai Phule Pune University,PUNE,Under Graduate,Bachelor of Pharmacy,4 Years,http://www.unipune.ac.in/,AICTE,B+
College,Bharati Vidyapeeth Deemed University,PUNE,Under Graduate,Bachelor of Science in Nursing,3 Years,https://www.bvuniversity.edu.in/,AICTE,B+
College,Bharati Vidyapeeth Deemed University,PUNE,Under Graduate,Bachelor of Homoeopathic Medicine and Surgery,4 Years,https://www.bvuniversity.edu.in/,AICTE,B+
College,Bharati Vidyapeeth Deemed University,PUNE,Under Graduate,Bachelor of Science in Biotechnology,3 Years,https://www.bvuniversity.edu.in/,AICTE,B+
College,Bharati Vidyapeeth Deemed University,PUNE,Under Graduate,Bachelor Of Physical Education & Sports,3 Years,https://www.bvuniversity.edu.in/,AICTE,B+
College,Bharati Vidyapeeth Deemed University,PUNE,Under Graduate,Bachelor of Physical Education,3 Years,https://www.bvuniversity.edu.in/,AICTE,B+
College,Bharati Vidyapeeth Deemed University,PUNE,Under Graduate,Bachelor of Dental Surgery,4.5 Years,https://www.bvuniversity.edu.in/,AICTE,B+
College,Bharati Vidyapeeth Deemed University,PUNE,Under Graduate,Bachelor of Architecture,4.5 Years,https://www.bvuniversity.edu.in/,AICTE,B+
College,Bharati Vidyapeeth Deemed University,PUNE,Under Graduate,Bachelor of Ayurvedic Medicine and Surgery,4 Years,https://www.bvuniversity.edu.in/,AICTE,B+
College,Bharati Vidyapeeth Deemed University,PUNE,Under Graduate,Bachelor of Technology specialization in Chemical Engineering,4 Years,https://www.bvuniversity.edu.in/,AICTE,B+
College,Bharati Vidyapeeth Deemed University,PUNE,Under Graduate,Bachelor of Technology specialization in Civil Engineering,4 Years,https://www.bvuniversity.edu.in/,AICTE,B+
College,Bharati Vidyapeeth Deemed University,PUNE,Under Graduate,Bachelor of Technology specialization in Computer Engineering,4 Years,https://www.bvuniversity.edu.in/,AICTE,B+
College,Bharati Vidyapeeth Deemed University,PUNE,Under Graduate,Bachelor of Technology specialization in Computer Science and Engineering,4 Years,https://www.bvuniversity.edu.in/,AICTE,B+
