University,Website Link
Savitribai Phule Pune University,http://www.unipune.ac.in/
Bharati Vidyapeeth Deemed University,https://www.bvuniversity.edu.in/
MIT World Peace University (MIT-WPU),https://mitwpu.edu.in/
COEP Technological University,https://www.coep.org.in/
Fergusson College,https://www.fergusson.edu/
Dr. D. Y. Patil Institute of Technology,https://engg.dypvp.edu.in/
St. Mira's College For Girls,https://www.stmirascollegepune.edu.in/
"Modern College of Arts, Science and Commerce",http://moderncollegepune.edu.in/
Maharashtra Institute of Technology,https://mitpune.ac.in/
Tilak Maharashtra Vidyapeeth,https://www.tmv.edu.in/
Vishwakarma Institute of Technology,https://www.vit.edu/
Ajeenkya DY Patil University,https://adypu.edu.in/
Symbiosis International University,https://www.siu.edu.in/
Army Institute of Technology,https://www.aitpune.com/
Brihan Maharashtra College of Commerce,https://www.bmcc.ac.in/
"Bharati Vidyapeeth (Deemed to be University) College of Engineering, Pune",http://bvucoepune.edu.in/
PCCOE - Pimpri Chinchwad College Of Engineering,http://www.pccoepune.com/
SCTR'S Pune Institute of Computer Technology,https://pict.edu/
"BRACT's, Vishwakarma Institute of Information Technology",https://www.viit.ac.in/
Ness Wadia College of Commerce,https://nwcc.mespune.org/
Symbiosis Institute of Computer Studies and Research,https://www.sicsr.ac.in/
"Dr. D. Y. Patil Vidyapeeth, Pune",https://dpu.edu.in/
P.E.S. Modern College of Engineering,https://moderncoe.edu.in/
Defence Institute Of Advanced Technology,https://www.diat.ac.in/
Marathwada Mitra Mandal's College of Engineering,https://www.mmcoe.edu.in/
Armed Forces Medical College Pune,https://afmc.nic.in/
D. Y. Patil International University,https://www.dypiu.ac.in/
Abasaheb Garware College,https://garwarecollege.mespune.in/
MMCC(Marathwada Mitra Mandal's College of Commerce),https://www.mmcc.edu.in/
BYRAMJEE JEEJEEBHOY GOVERNMENT MEDICAL COLLEGE,http://www.bjmcpune.org/
"Indian Institute of Information Technology, Pune",https://www.iiitp.ac.in/
Symbiosis Centre for Management and Human Resource Development,https://www.scmhrd.edu/
MKSSS's Cummins College of Engineering For Women,https://www.cumminscollege.org/
Sinhgad College of Engineering,http://cms.sinhgad.edu/
AISSMS College of Engineering,https://aissmscoe.com/
Vishwakarma University,https://www.vupune.ac.in/academicss
"MIT Art, Design & Technology University",https://mituniversity.ac.in/
"Dr. D. Y. Patil Medical College, Hospital & Research Centre",https://medical.dpu.edu.in/
Poona College of Pharmacy,https://pcp.bharatividyapeeth.edu/
Department of Management Sciences,https://www.pumba.in/
Sir Parashurambhau College,https://www.spcollegepune.ac.in/
"Poona College of Arts, Science and Commerce",https://poonacollege.edu.in/
Symbiosis Institute of Business Management Pune,https://sibm.edu/
Symbiosis Institute of Media & Communication AND Symbiosis Institute of Telecom Management,https://www.simc.edu/
Symbiosis Law School,https://www.symlaw.ac.in/
ILS Law College,https://ilslaw.edu/
GS Moze College Of Engineering BALEWADI PUNE,https://www.gsmozecoe.org/
Jayawantrao Sawant College of Engineering,https://jspmjscoe.edu.in/
FLAME University,https://www.flame.edu.in/
Sinhgad college of commerce,http://www.sinhgad.edu/
"Rajasthan Technical University, Kota",https://rtu.ac.in/
"Maharishi Arvind International Institute of Technology, Kota",https://www.maism.org
Modi Institute of Management & Technology,https://www.modiedukota.org
Om Kotari Institute of Management & Research,https://www.okedu.in/
Vardhman Mahaveer Open University,https://www.vmou.ac.in
